"Data","Temperatura","Tmaxima","Tminima","HR","Precipitacio","Vent","Direccio","RatxaMaxima","Irradiancia"
2025-01-01 00:00:00,7,7.2,6.8,100,0,4.7,293,9.7,0
2025-01-01 00:30:00,5.7,6.8,5.1,100,0,4,236,7.2,0
2025-01-01 01:00:00,4.9,5.1,4.6,100,0,3.6,240,5.4,0
2025-01-01 01:30:00,4.6,4.7,4.5,100,0,3.2,251,6.5,0
2025-01-01 02:00:00,4.3,4.5,4,100,0,3.6,265,6.1,0
2025-01-01 02:30:00,4,4.1,3.8,100,0,4,253,6.8,0
2025-01-01 03:00:00,4.1,4.2,3.9,100,0,3.2,258,7.6,0
2025-01-01 03:30:00,3.9,4.1,3.8,100,0,3.6,232,8.6,0
2025-01-01 04:00:00,4,4.3,3.7,100,0,2.9,243,9.4,0
2025-01-01 04:30:00,4,4.2,3.8,100,0,4.3,270,12.6,0
2025-01-01 05:00:00,4,4.1,3.9,100,0,4.3,257,8.6,0
2025-01-01 05:30:00,4,4.1,3.8,100,0,5.4,272,10.1,0
2025-01-01 06:00:00,3.8,4,3.4,100,0,2.9,267,6.1,0
2025-01-01 06:30:00,3.4,3.7,3.1,100,0,4,282,9.4,0
2025-01-01 07:00:00,3.2,3.3,3,100,0,2.5,296,7.6,3
2025-01-01 07:30:00,3.1,3.2,3,100,0,1.8,277,5.8,27
2025-01-01 08:00:00,3.6,4,3.2,100,0,4.7,276,13.3,91
2025-01-01 08:30:00,4.7,5.6,4.1,100,0,3.6,248,7.6,174
2025-01-01 09:00:00,5.8,6.1,5.6,96,0,6.5,264,16.9,244
2025-01-01 09:30:00,6.3,6.5,6.1,92,0,7.6,281,15.1,309
2025-01-01 10:00:00,7.2,7.6,6.6,88,0,6.5,282,13.7,366
2025-01-01 10:30:00,8,8.3,7.5,84,0,7.6,293,15.5,404
2025-01-01 11:00:00,8.4,9.5,8,81,0,7.9,301,14,431
2025-01-01 11:30:00,10.2,10.8,9.6,76,0,6.5,254,10.4,442
2025-01-01 12:00:00,10.5,11.4,10,74,0,5,278,10.8,439
2025-01-01 12:30:00,11.7,12.9,10.8,69,0,5,254,10.1,421
2025-01-01 13:00:00,12.3,12.8,11.8,67,0,7.2,248,11.9,392
2025-01-01 13:30:00,12.6,13.1,12,66,0,8.3,235,12.2,350
2025-01-01 14:00:00,12.6,13.1,12.2,66,0,9.4,243,13.7,293
2025-01-01 14:30:00,12.3,12.6,12.1,67,0,7.9,253,13.7,226
2025-01-01 15:00:00,12,12.3,11.6,70,0,9.4,246,14,152
2025-01-01 15:30:00,11.2,11.6,10.5,74,0,7.2,245,10.1,79
2025-01-01 16:00:00,9.2,10.5,8.3,83,0,5,247,7.2,19
2025-01-01 16:30:00,7.7,8.2,7.5,89,0,4.7,240,7.2,0
2025-01-01 17:00:00,7.5,7.7,7.4,90,0,2.5,272,4,0
2025-01-01 17:30:00,6.9,7.3,6.6,94,0,1.4,249,3.2,0
2025-01-01 18:00:00,6.9,7.2,6.7,94,0,1.8,239,4,0
2025-01-01 18:30:00,6.5,7.1,5.8,94,0,3.6,266,6.5,0
2025-01-01 19:00:00,5.7,5.9,5.5,97,0,4.3,266,6.1,0
2025-01-01 19:30:00,5.2,5.7,5,98,0,6.1,258,8.6,0
2025-01-01 20:00:00,5,5.2,4.9,98,0,5,267,8.6,0
2025-01-01 20:30:00,5,5.1,4.9,96,0,5,260,7.9,0
2025-01-01 21:00:00,5.1,5.2,4.7,95,0,5.4,265,9.4,0
2025-01-01 21:30:00,4.7,4.8,4.5,96,0,4.3,265,7.9,0
2025-01-01 22:00:00,4.3,4.6,4,97,0,5,269,8.3,0
2025-01-01 22:30:00,3.9,4.3,3.5,98,0,5.8,264,8.6,0
2025-01-01 23:00:00,3.4,3.6,3.1,100,0,6.8,260,9,0
2025-01-01 23:30:00,3.6,3.7,3.2,99,0,7.6,260,10.4,0
2025-01-02 00:00:00,3.1,3.4,3,100,0,7.6,251,10.4,0
2025-01-02 00:30:00,3.1,3.2,2.8,100,0,9.7,250,13.7,0
2025-01-02 01:00:00,2.9,3.4,2.4,100,0,8.3,251,12.6,0
2025-01-02 01:30:00,3.2,3.7,2.9,100,0,5.8,250,7.2,0
2025-01-02 02:00:00,3.6,4,3.3,98,0,7.6,248,11.2,0
2025-01-02 02:30:00,4.3,4.4,4.1,94,0,10.1,244,15.1,0
2025-01-02 03:00:00,3.8,4.1,3.3,94,0,10.1,245,13.7,0
2025-01-02 03:30:00,3.5,4,2.9,94,0,9.4,245,12.6,0
2025-01-02 04:00:00,3.3,3.6,2.9,94,0,10.4,249,14,0
2025-01-02 04:30:00,2.8,3,2.7,96,0,10.1,245,13.7,0
2025-01-02 05:00:00,3.2,3.6,3,94,0,12.6,242,17.6,0
2025-01-02 05:30:00,3.1,3.6,2.7,94,0,11.9,251,17.3,0
2025-01-02 06:00:00,3.6,4,3.2,90,0,11.9,255,18.7,0
